0 		 start2 		 start2 		 start2
1 		 start1 		 start1 		 start1
2 		 इसे 		 k2 		 start2
3 		 कोई 		 k1 		 start1
4 		 भी 		 lwg__rp 		 start2
5 		 नहीं 		 lwg__neg 		 start1
6 		 भुला 		 main 		 start2
7 		 सकता 		 lwg__vaux 		 start1
8 		 है 		 lwg__vaux_cont 		 start2
9 		 जहाँ 		 k5 		 nmod
10 		 से 		 lwg__psp 		 case
11 		 उन्होंने 		 k1 		 nsubj
12 		 पीएच. 		 nmod 		 amod
13 		 डी. 		 r6 		 nmod
14 		 की 		 lwg__psp 		 case
15 		 उनके 		 r6 		 nmod
16 		 दूसरे 		 nmod__adj 		 case
17 		 बेटे 		 r6 		 nmod
18 		 का 		 lwg__psp 		 case
19 		 नाम 		 k1 		 nsubj
20 		 अजिताभ 		 k1s 		 case
21 		 है 		 main 		 case
22 		 दुनिया 		 k7p 		 nmod
23 		 भर 		 lwg__rp 		 case
24 		 में 		 lwg__psp 		 case
25 		 सुपर 		 pof__cn 		 case
26 		 स्टार 		 k1s 		 case
27 		 अमिताभ 		 k1s 		 case
28 		 है 		 main 		 case
29 		 'अमिताभ' 		 r6 		 nmod
30 		 का 		 lwg__psp 		 case
31 		 अर्थ 		 k2 		 case
32 		 है, 		 nmod 		 amod
33 		 "शाश्वत 		 rsym 		 punct
34 		 प्रकाश" 		 pof__cn 		 case
35 		 साथ 		 vmod 		 case
36 		 ही 		 lwg__rp 		 case
37 		 साथ 		 lwg__psp 		 case
38 		 वे 		 k1 		 nsubj
39 		 एक 		 nmod__adj 		 case
40 		 अर्थशास्त्री 		 k1s 		 case
41 		 भी 		 lwg__rp 		 case
42 		 हैं 		 main 		 case
43 		 न 		 lwg__neg 		 case
44 		 सिंह 		 r6 		 nmod
45 		 की 		 lwg__psp 		 case
46 		 दो 		 nmod__adj 		 case
47 		 बार 		 k7t 		 nmod
48 		 बाईपास 		 pof__cn 		 case
49 		 सर्जरी 		 pof 		 compound
50 		 हुई 		 main 		 case
51 		 है 		 lwg__vaux 		 case
52 		 दुनिया 		 r6 		 nmod
53 		 भर 		 lwg__rp 		 case
54 		 के 		 lwg__psp 		 case
55 		 लोग 		 k1 		 nsubj
56 		 उनका 		 r6-k2 		 nmod
57 		 सम्मान 		 pof 		 compound
58 		 करते 		 main 		 case
59 		 हैं 		 lwg__vaux 		 case
60 		 बाद 		 k7t 		 nmod
61 		 में 		 lwg__psp 		 case
62 		 वे 		 k1 		 nsubj
63 		 कैम्ब्रिज 		 pof__cn 		 case
64 		 विश्वविद्यालय 		 k2p 		 nmod
65 		 गये 		 main 		 case
66 		 इस 		 nmod__adj 		 case
67 		 मामले 		 k7 		 nmod
68 		 में 		 lwg__psp 		 case
69 		 बच्चन 		 k2 		 case
70 		 को 		 lwg__psp 		 case
71 		 दोषी 		 k2s 		 acl
72 		 नहीं 		 lwg__neg 		 case
73 		 पाया 		 main 		 case
74 		 गया 		 lwg__vaux 		 case
75 		 मनमोहन 		 pof__cn 		 case
76 		 सिंह 		 k1 		 nsubj
77 		 1991 		 k7t 		 nmod
78 		 से 		 lwg__psp 		 case
79 		 राज्यसभा 		 r6 		 nmod
80 		 के 		 lwg__psp 		 case
81 		 सदस्य 		 k1s 		 case
82 		 हैं 		 main 		 case
83 		 बच्चन 		 k1 		 nsubj
84 		 ने 		 lwg__psp 		 case
85 		 दो 		 nmod__adj 		 case
86 		 बार 		 k7t 		 nmod
87 		 एम. 		 pof__cn 		 case
88 		 ए. 		 r6 		 nmod
89 		 की 		 lwg__psp 		 case
90 		 उपाधि 		 k2 		 case
91 		 ग्रहण 		 pof 		 compound
92 		 की 		 main 		 case
93 		 है 		 lwg__vaux 		 case
94 		 दोस्ताना 		 nmod__adj 		 case
95 		 वर्ष 		 k7t 		 nmod
96 		 १९८० 		 r6 		 nmod
97 		 की 		 lwg__psp 		 case
98 		 शीर्ष 		 nmod__adj 		 case
99 		 फ़िल्म 		 k1s 		 case
100 		 साबित 		 pof 		 compound
101 		 हुई 		 main 		 case
102 		 बच्चन 		 k1 		 nsubj
103 		 अपनी 		 r6 		 nmod
104 		 जबरदस्त 		 nmod__adj 		 case
105 		 आवाज़ 		 rt 		 advcl
106 		 के 		 lwg__psp 		 case
107 		 लिए 		 lwg__psp 		 case
108 		 जाने 		 rt 		 advcl
109 		 जाते 		 main 		 case
110 		 हैं 		 lwg__vaux 		 case
111 		 लाइसेंस 		 ccof 		 conj
112 		 एवं 		 k2 		 case
113 		 परमिट 		 ccof 		 conj
114 		 गुज़रे 		 nmod__k1inv 		 case
115 		 ज़माने 		 r6 		 nmod
116 		 की 		 lwg__psp 		 case
117 		 चीज़ 		 k1 		 nsubj
118 		 हो 		 main 		 case
119 		 गई 		 lwg__vaux 		 case
120 		 लेकिन, 		 k1 		 nsubj
121 		 वे 		 k1 		 nsubj
122 		 किसी 		 mod 		 nsubj
123 		 विशेष 		 nmod__adj 		 case
124 		 पत्रिका 		 vmod 		 case
125 		 के 		 lwg__psp 		 case
126 		 खिलाफ़ 		 lwg__psp 		 case
127 		 नहीं 		 lwg__neg 		 case
128 		 थे 		 main 		 case
129 		 लेकिन 		 main 		 case
130 		 श्री 		 pof__cn 		 case
131 		 राव 		 k1 		 nsubj
132 		 ने 		 lwg__psp 		 case
133 		 मनमोहन 		 pof__cn 		 case
134 		 सिंह 		 k7 		 nmod
135 		 पर 		 lwg__psp 		 case
136 		 पूरा 		 nmod__adj 		 case
137 		 यक़ीन 		 k2 		 case
138 		 रखा 		 ccof 		 conj
139 		 देश 		 r6 		 nmod
140 		 के 		 lwg__psp 		 case
141 		 विभाजन 		 k7t 		 nmod
142 		 के 		 lwg__psp 		 case
143 		 बाद 		 lwg__psp 		 case
144 		 सिंह 		 r6 		 nmod
145 		 का 		 lwg__psp 		 case
146 		 परिवार 		 k1 		 nsubj
147 		 भारत 		 k2p 		 nmod
148 		 चला 		 main 		 case
149 		 आया 		 lwg__vaux 		 case
150 		 इनकी 		 r6 		 nmod
151 		 दो 		 nmod__adj 		 case
152 		 सन्तानें 		 k1 		 nsubj
153 		 हैं, 		 nmod__k1inv 		 case
154 		 श्वेता 		 pof__cn 		 case
155 		 नंदा 		 ccof 		 conj
156 		 और 		 r6 		 nmod
157 		 अभिषेक 		 pof__cn 		 case
158 		 बच्चन 		 ccof 		 conj
159 		 डॉ॰ 		 pof__cn 		 case
160 		 मनमोहन 		 pof__cn 		 case
161 		 सिंह 		 k1 		 nsubj
162 		 ने 		 lwg__psp 		 case
